,2009,2010,2011,2012,2013,2014,2015,2016,AggregateTravelTime,BldgArea,MedianHI,NumBike,NumWalk,NumWorkers_Transit,Salecount,Saleprice,TotalPopRace,TotalWhite,Tract,Under18,Year,pctC,pctM,pctR,TRACTCE,Shape_Area
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.1,15356922785119.82,83017.0,0.0,6.09,34.21,0.05555555555555555,948666.6666666669,4726,74.33,100,0.46,2009,0.0,0.0,0.9533586890321456,100,2.2142580565000004e-05
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15397311031529.26,85396.0,0.0,5.16,37.41,0.07692307692307693,1075664.5,4576,70.91,100,0.45,2010,0.0,0.0,0.9534810325216272,100,2.2142580565000004e-05
2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1656.99,24311407535348.4,87806.0,0.0,5.96,37.18,0.11965811965811965,2093960.141685736,4685,70.01,100,0.53,2011,0.0,0.3666631185733767,0.6038747036366842,100,2.2142580565000004e-05
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1534.07,24293704088415.04,88705.0,0.0,5.21,37.31,0.09401709401709404,1777865.5998217468,4623,72.66,100,0.63,2012,0.0,0.36620158970028005,0.604314762663143,100,2.2142580565000004e-05
4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1405.86,31974452928901.42,86210.0,0.0,3.75,36.51,0.09829059829059827,1815000.0,4610,76.62,100,0.68,2013,0.0,0.2787880850890732,0.6988106868829511,100,2.2142580565000004e-05
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1281.89,23376593278300.21,80318.0,0.0,2.77,34.1,0.1111111111111111,2757311.1024154588,4367,72.11,100,0.54,2014,0.0,0.38132573030193495,0.5880339192157307,100,2.2142580565000004e-05
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1386.27,25255163839572.1,70938.0,1.09,4.55,32.04,0.07264957264957267,2182083.333333333,4304,74.05,100,0.62,2015,0.0,0.4264206310816333,0.5452181586850842,100,2.2142580565000004e-05
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1380.45,27093400348659.85,87192.0,1.09,4.55,32.84,0.08547008547008547,24492353.06190477,4224,71.52,100,0.49,2016,0.0,0.4232243150644972,0.5503387297393076,100,2.2142580565000004e-05
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10141839464364.62,32841.0,0.0,13.94,11.19,0.04964539007092199,743333.3333333335,1341,59.66,200,1.33,2009,0.0,1.0,0.0,200,2.9486396531e-05
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10205258539599.34,54688.0,0.0,22.68,15.38,0.010638297872340424,890796.1666666665,1014,36.88,200,0.42,2010,0.0,1.0,0.0,200,2.9486396531e-05
10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10207293376237.88,31728.0,0.0,12.88,13.59,0.07092198581560284,1055002.2,1266,48.58,200,1.33,2011,0.0,1.0,0.0,200,2.9486396531e-05
11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1213.8,10198343486422.67,33988.0,0.68,15.68,15.6,0.056737588652482275,626000.0,1333,36.08,200,1.3,2012,0.0,1.0,0.0,200,2.9486396531e-05
12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10008452531313.48,33906.0,2.05,9.68,20.66,0.0425531914893617,1409601.9047619046,1612,31.2,200,1.49,2013,0.0,1.0,0.0,200,2.9486396531e-05
13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9181901888735.74,35500.0,2.24,9.22,23.7,0.060283687943262415,1449562.5,1561,20.76,200,1.37,2014,0.0,1.0,0.0,200,2.9486396531e-05
14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1444.86,9192649217581.67,34740.0,2.41,8.73,23.88,0.08865248226950355,2847591.3972007725,1868,24.73,200,1.74,2015,0.0,1.0,0.0,200,2.9486396531e-05
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1755.19,7569649949099.1,48393.0,2.87,8.79,29.18,0.0425531914893617,2606042.5,1638,20.82,200,0.85,2016,0.0,1.0,0.0,200,2.9486396531e-05
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.65,11587877415197.47,114485.0,1.11,9.06,36.28,0.04975124378109453,1518814.3529411762,4071,87.57,700,0.62,2009,0.07626522188579095,0.0,0.9237347781142092,700,1.8833336959000003e-05
17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1703.22,11589162370702.32,129097.0,0.43,10.75,42.2,0.07960199004975124,2660882.3846153845,3479,86.69,700,0.48,2010,0.07625676593241353,0.0,0.9237203258826752,700,1.8833336959000003e-05
18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1712.56,15576474877428.01,135050.0,0.4,10.24,41.92,0.07462686567164177,1377548.7037037038,3526,87.61,700,0.39,2011,0.05673633150052666,0.26469557569786983,0.6785510487222054,700,1.8833336959000003e-05
19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1694.1,15596795227498.38,130660.0,2.05,11.49,39.39,0.0945273631840796,2697518.465909091,3663,87.88,700,0.44,2012,0.056662412333096275,0.2643507159570191,0.6789698498364368,700,1.8833336959000003e-05
20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1796.45,15547558068835.59,136515.0,2.87,9.59,39.53,0.0945273631840796,2906400.0668934244,3827,89.89,700,0.45,2013,0.056841855058050825,0.2643569739532889,0.6787840952090827,700,1.8833336959000003e-05
